WORD_TOKENIZE,POS,TAG,BOUNDARY,SENTENCE
ผม,PPRS,O,START,Sentence: 1
เตรียม,VACT,B-COMMAND_1,None,Sentence: 1
ให้,JSBR,O,None,Sentence: 1
แล้ว,ADVN,O,None,Sentence: 1
ครับ,VACT,O,None,Sentence: 1
กะเพรา,NCMN,B-FOOD,None,Sentence: 1
หมูสับ,NCMN,I-FOOD,None,Sentence: 1
โต๊ะ,NCMN,O,None,Sentence: 1
4,NCNM,B-TABLE,END,Sentence: 1
ของ,RPRE,O,START,Sentence: 2
โต๊ะ,NCMN,O,None,Sentence: 2
4,NCNM,B-TABLE,None,Sentence: 2
เตรียม,VACT,B-COMMAND_1,None,Sentence: 2
ให้,JSBR,O,None,Sentence: 2
แล้ว,ADVN,O,None,Sentence: 2
นะ,VACT,O,None,Sentence: 2
ครับ,NCMN,O,None,Sentence: 2
เป็น,VSTA,O,None,Sentence: 2
กะเพรา,NCMN,B-FOOD,None,Sentence: 2
หมูสับ,NCMN,I-FOOD,END,Sentence: 2
โต๊ะ,NCMN,O,START,Sentence: 3
5,NCNM,B-TABLE,None,Sentence: 3
เตรียม,VACT,B-COMMAND_1,None,Sentence: 3
แล้ว,XVAE,O,None,Sentence: 3
ครับ,VACT,O,END,Sentence: 3
เตรียม,VACT,B-COMMAND_1,START,Sentence: 4
ให้,JSBR,O,None,Sentence: 4
แล้ว,ADVN,O,None,Sentence: 4
ครับ,VACT,O,None,Sentence: 4
กะเพรา,NCMN,B-FOOD,None,Sentence: 4
หมูสับ,NCMN,I-FOOD,None,Sentence: 4
โต๊ะ,NCMN,O,None,Sentence: 4
2,NCNM,B-TABLE,END,Sentence: 4
เตรียม,VACT,B-COMMAND_1,START,Sentence: 5
แล้ว,JSBR,O,None,Sentence: 5
ครับ,VACT,O,None,Sentence: 5
โต๊ะ,NCMN,O,None,Sentence: 5
2,NCNM,B-TABLE,None,Sentence: 5
กับ,RPRE,O,None,Sentence: 5
โต๊ะ,NCMN,O,None,Sentence: 5
4,NCNM,B-TABLE,None,Sentence: 5
ออเดอร์,NCMN,O,None,Sentence: 5
เป็น,VSTA,O,None,Sentence: 5
กะเพรา,NCMN,B-FOOD,None,Sentence: 5
หมูสับ,NCMN,I-FOOD,None,Sentence: 5
ครับ,NCMN,O,END,Sentence: 5
กะเพรา,NCMN,B-FOOD,START,Sentence: 6
หมูสับ,NCMN,I-FOOD,None,Sentence: 6
โต๊ะ,NCMN,O,None,Sentence: 6
3,NCNM,B-TABLE,None,Sentence: 6
ผม,PPRS,B-COMMAND_1,None,Sentence: 6
[COMMAND_1],CMTR,I-COMMAND_1,None,Sentence: 6
เตรียม,VACT,I-COMMAND_1,END,Sentence: 6
หนู,NCMN,B-COMMAND_1,START,Sentence: 7
[COMMAND_1],NCMN,I-COMMAND_1,None,Sentence: 7
เตรียม,VACT,I-COMMAND_1,None,Sentence: 7
ไว้,XVAE,O,None,Sentence: 7
แล้ว,XVAE,O,None,Sentence: 7
ค่ะ,NCMN,O,None,Sentence: 7
กะเพรา,NCMN,B-FOOD,None,Sentence: 7
หมูสับ,NCMN,I-FOOD,None,Sentence: 7
ออเดอร์,NCMN,O,None,Sentence: 7
ของ,RPRE,O,None,Sentence: 7
โต๊ะ,NCMN,O,None,Sentence: 7
4,NCNM,B-TABLE,None,Sentence: 7
ค่ะ,NCMN,O,END,Sentence: 7
เชฟ,NCMN,O,START,Sentence: 8
ค่ะ,NCMN,O,None,Sentence: 8
กะเพรา,NCMN,B-FOOD,None,Sentence: 8
หมูสับ,NCMN,I-FOOD,None,Sentence: 8
เตรียม,VACT,B-COMMAND_1,None,Sentence: 8
ให้,JSBR,O,None,Sentence: 8
แล้ว,ADVN,O,None,Sentence: 8
ค้า,VACT,O,None,Sentence: 8
ออเดอร์,NCMN,O,None,Sentence: 8
โต๊ะ,NCMN,O,None,Sentence: 8
5,NCNM,B-TABLE,None,Sentence: 8
กับ,RPRE,O,None,Sentence: 8
โต๊ะ,NCMN,O,None,Sentence: 8
6,NCNM,B-TABLE,END,Sentence: 8
กะเพรา,NCMN,B-FOOD,START,Sentence: 9
หมูสับ,NCMN,I-FOOD,None,Sentence: 9
ออเดอร์,NCMN,O,None,Sentence: 9
ของ,RPRE,O,None,Sentence: 9
โต๊ะ,NCMN,O,None,Sentence: 9
3,DCNM,B-TABLE,None,Sentence: 9
แล้วก็,CNIT,O,None,Sentence: 9
โต๊ะ,CMTR,O,None,Sentence: 9
4,NCNM,B-TABLE,None,Sentence: 9
เตรียม,VACT,B-COMMAND_1,None,Sentence: 9
ให้,JSBR,O,None,Sentence: 9
แล้ว,ADVN,O,None,Sentence: 9
ครับ,VACT,O,END,Sentence: 9
เชฟ,NCMN,O,START,Sentence: 10
ผม,PPRS,B-COMMAND_1,None,Sentence: 10
[COMMAND_1],VACT,I-COMMAND_1,None,Sentence: 10
เตรียม,VACT,I-COMMAND_1,None,Sentence: 10
ไว้,XVAE,O,None,Sentence: 10
ให้,XVAE,O,None,Sentence: 10
แล้ว,ADVN,O,None,Sentence: 10
ครับ,VACT,O,None,Sentence: 10
กะเพรา,NCMN,B-FOOD,None,Sentence: 10
หมูสับ,NCMN,I-FOOD,None,Sentence: 10
โต๊ะ,NCMN,O,None,Sentence: 10
3,NCNM,B-TABLE,None,Sentence: 10
กับ,RPRE,O,None,Sentence: 10
โต๊ะ,NCMN,O,None,Sentence: 10
6,NCNM,B-TABLE,END,Sentence: 10
เตรียม,VACT,B-COMMAND_1,START,Sentence: 11
ให้,JSBR,O,None,Sentence: 11
แล้ว,ADVN,O,None,Sentence: 11
นะ,VACT,O,None,Sentence: 11
ครับ,NCMN,O,None,Sentence: 11
เชฟ,NCMN,O,None,Sentence: 11
